commit,author.time_sec,message,name
3aea92ee01f2ad9a41f82aef793dcf95cb176c3e,1641027847,Training fixes,domschl/torch-poet
e06c8af2df9c5f6a84b3f847199ab03a3953eb40,1641033066,Delete Gaussian-Mixture.ipynb,empet/Plotly-plots
2600164ba07c6e6e1e4b90598ff1947743038ac5,1641036664,"Generator fixes, TPU start",domschl/torch-poet
65b50e0063d4fe8995805115015587042cf034e1,1641038572,"bugfix: positional argument correction for metrics.RPE call in Jupyter notebook (#447)

Fixes #446 ",MichaelGrupp/evo
f6788b510dd7402cf1fb2be8b036e5736d75b4e3,1641135918,"grammar and spelling fixes
",xboard/xboard.github.io
7fd9469097a6961df1aa28503a583d0f8a58150c,1641222422,"style: fix punctuation and wording
",ciyer/outlier
af82b8c0171f1fdeeeb8e29f1474fbbbae2d8c2b,1641229288,"Merge pull request #535 from sbenthall/i529

moving domaine entropy calculation from notebooks to library. fixes #529",datactive/bigbang
af82b8c0171f1fdeeeb8e29f1474fbbbae2d8c2b,1641229288,"Merge pull request #535 from sbenthall/i529

moving domaine entropy calculation from notebooks to library. fixes #529",datactive/bigbang
af82b8c0171f1fdeeeb8e29f1474fbbbae2d8c2b,1641229288,"Merge pull request #535 from sbenthall/i529

moving domaine entropy calculation from notebooks to library. fixes #529",datactive/bigbang
1d47204e13c0dcc3afaec7367f513231ac960fd4,1641234233,"add: an example on GauGAN (#752)

* add: an example on GauGAN

* updated Input and Model

* fix: formatting

* chore: replaced tf.keras aliases with keras

* chore: review feedback address

* fix: crop_size

* chore: black formatting

* Copyedits

* eliminate trailing space

* chore: adding generated files

* fix: python script

* chore: regenerated files

Co-authored-by: soumik12345 <e0b56d4e5ce53ac5424280170a4bb47f8b3bfc88@gmail.com>
Co-authored-by: François Chollet <1e82ef9d5a20d45e79de7bd04e4afc209ce8ce63@gmail.com>",keras-team/keras-io
3a0e1936c73ca4da22d58448bf1398840fa7f3cd,1641311941,"Merge pull request #131 from GoogleCloudPlatform/edition2_dev_filipe

fix query",GoogleCloudPlatform/data-science-on-gcp
